ODATEDW,OSOURCE,TCODE,STATE,ZIP,MAILCODE,PVASTATE,DOB,NOEXCH,RECINHSE,RECP3,RECPGVG,RECSWEEP,MDMAUD,DOMAIN,CLUSTER,AGE,AGEFLAG,HOMEOWNR,CHILD03,CHILD07,CHILD12,CHILD18,NUMCHLD,INCOME,GENDER,WEALTH1,HIT,MBCRAFT,MBGARDEN,MBBOOKS,MBCOLECT,MAGFAML,MAGFEM,MAGMALE,PUBGARDN,PUBCULIN,PUBHLTH,PUBDOITY,PUBNEWFN,PUBPHOTO,PUBOPP,DATASRCE,MALEMILI,MALEVET,VIETVETS,WWIIVETS,LOCALGOV,STATEGOV,FEDGOV,SOLP3,SOLIH,MAJOR,WEALTH2,GEOCODE,COLLECT1,VETERANS,BIBLE,CATLG,HOMEE,PETS,CDPLAY,STEREO,PCOWNERS,PHOTO,CRAFTS,FISHER,GARDENIN,BOATS,WALKER,KIDSTUFF,CARDS,PLATES,LIFESRC,PEPSTRFL,POP901,POP902,POP903,POP90C1,POP90C2,POP90C3,POP90C4,POP90C5,ETH1,ETH2,ETH3,ETH4,ETH5,ETH6,ETH7,ETH8,ETH9,ETH10,ETH11,ETH12,ETH13,ETH14,ETH15,ETH16,AGE901,AGE902,AGE903,AGE904,AGE905,AGE906,AGE907,CHIL1,CHIL2,CHIL3,AGEC1,AGEC2,AGEC3,AGEC4,AGEC5,AGEC6,AGEC7,CHILC1,CHILC2,CHILC3,CHILC4,CHILC5,HHAGE1,HHAGE2,HHAGE3,HHN1,HHN2,HHN3,HHN4,HHN5,HHN6,MARR1,MARR2,MARR3,MARR4,HHP1,HHP2,DW1,DW2,DW3,DW4,DW5,DW6,DW7,DW8,DW9,HV1,HV2,HV3,HV4,HU1,HU2,HU3,HU4,HU5,HHD1,HHD2,HHD3,HHD4,HHD5,HHD6,HHD7,HHD8,HHD9,HHD10,HHD11,HHD12,ETHC1,ETHC2,ETHC3,ETHC4,ETHC5,ETHC6,HVP1,HVP2,HVP3,HVP4,HVP5,HVP6,HUR1,HUR2,RHP1,RHP2,RHP3,RHP4,HUPA1,HUPA2,HUPA3,HUPA4,HUPA5,HUPA6,HUPA7,RP1,RP2,RP3,RP4,MSA,ADI,DMA,IC1,IC2,IC3,IC4,IC5,IC6,IC7,IC8,IC9,IC10,IC11,IC12,IC13,IC14,IC15,IC16,IC17,IC18,IC19,IC20,IC21,IC22,IC23,HHAS1,HHAS2,HHAS3,HHAS4,MC1,MC2,MC3,TPE1,TPE2,TPE3,TPE4,TPE5,TPE6,TPE7,TPE8,TPE9,PEC1,PEC2,TPE10,TPE11,TPE12,TPE13,LFC1,LFC2,LFC3,LFC4,LFC5,LFC6,LFC7,LFC8,LFC9,LFC10,OCC1,OCC2,OCC3,OCC4,OCC5,OCC6,OCC7,OCC8,OCC9,OCC10,OCC11,OCC12,OCC13,EIC1,EIC2,EIC3,EIC4,EIC5,EIC6,EIC7,EIC8,EIC9,EIC10,EIC11,EIC12,EIC13,EIC14,EIC15,EIC16,OEDC1,OEDC2,OEDC3,OEDC4,OEDC5,OEDC6,OEDC7,EC1,EC2,EC3,EC4,EC5,EC6,EC7,EC8,SEC1,SEC2,SEC3,SEC4,SEC5,AFC1,AFC2,AFC3,AFC4,AFC5,AFC6,VC1,VC2,VC3,VC4,ANC1,ANC2,ANC3,ANC4,ANC5,ANC6,ANC7,ANC8,ANC9,ANC10,ANC11,ANC12,ANC13,ANC14,ANC15,POBC1,POBC2,LSC1,LSC2,LSC3,LSC4,VOC1,VOC2,VOC3,HC1,HC2,HC3,HC4,HC5,HC6,HC7,HC8,HC9,HC10,HC11,HC12,HC13,HC14,HC15,HC16,HC17,HC18,HC19,HC20,HC21,MHUC1,MHUC2,AC1,AC2,ADATE_2,ADATE_3,ADATE_4,ADATE_5,ADATE_6,ADATE_7,ADATE_8,ADATE_9,ADATE_10,ADATE_11,ADATE_12,ADATE_13,ADATE_14,ADATE_15,ADATE_16,ADATE_17,ADATE_18,ADATE_19,ADATE_20,ADATE_21,ADATE_22,ADATE_23,ADATE_24,RFA_2,RFA_3,RFA_4,RFA_5,RFA_6,RFA_7,RFA_8,RFA_9,RFA_10,RFA_11,RFA_12,RFA_13,RFA_14,RFA_15,RFA_16,RFA_17,RFA_18,RFA_19,RFA_20,RFA_21,RFA_22,RFA_23,RFA_24,CARDPROM,MAXADATE,NUMPROM,CARDPM12,NUMPRM12,RDATE_3,RDATE_4,RDATE_5,RDATE_6,RDATE_7,RDATE_8,RDATE_9,RDATE_10,RDATE_11,RDATE_12,RDATE_13,RDATE_14,RDATE_15,RDATE_16,RDATE_17,RDATE_18,RDATE_19,RDATE_20,RDATE_21,RDATE_22,RDATE_23,RDATE_24,RAMNT_3,RAMNT_4,RAMNT_5,RAMNT_6,RAMNT_7,RAMNT_8,RAMNT_9,RAMNT_10,RAMNT_11,RAMNT_12,RAMNT_13,RAMNT_14,RAMNT_15,RAMNT_16,RAMNT_17,RAMNT_18,RAMNT_19,RAMNT_20,RAMNT_21,RAMNT_22,RAMNT_23,RAMNT_24,RAMNTALL,NGIFTALL,CARDGIFT,MINRAMNT,MINRDATE,MAXRAMNT,MAXRDATE,LASTGIFT,LASTDATE,FISTDATE,NEXTDATE,TIMELAG,AVGGIFT,CONTROLN,TARGET_D,HPHONE_D,RFA_2R,RFA_2F,RFA_2A,MDMAUD_R,MDMAUD_F,MDMAUD_A,CLUSTER2,GEOCODE2
9001,HSP,1,NC,27707, , ,1802,0, , , , ,XXXX,C1,24,80,E,H, , , , ,1,6,M,,0,,,,,,,,,,,,,,,2,0,18,43,24,6,19,4, , , ,9,03,Y, , ,Y, ,Y,Y,Y, , , , ,Y, , , , , ,3, ,1906,541,763,99,0,0,45,55,66,31,0,3,1,1,1,1,0,0,0,0,0,0,0,0,32,37,38,33,42,44,25,47,35,18,9,30,28,13,8,7,4,21,18,32,16,13,12,3,10,22,39,39,22,5,1,61,10,5,24,172,245,66,56,0,34,34,31,2,2,0,969,1282,5,5,64,36,92,8,13,37,71,59,30,82,18,7,1,6,10,23,7,12,44,9,8,21,2,13,18,45,82,99,6,1,49,55,58,14,4,24,10,0,7,3,26,0,74,94,96,99,6640,351,560,515,562,544,596,22008,6,11,13,18,35,9,2,2,3,5,6,10,18,41,11,3,2,4,13,1,56,2,61,39,20,95,3,0,0,0,0,0,0,2,0,26,18,22,3,69,82,87,77,85,75,86,69,99,99,0,37,17,11,10,12,1,1,4,1,4,2,1,0,1,0,1,10,3,2,4,8,5,4,2,1,16,27,10,4,6,19,4,7,50,14,0,160,2,2,10,9,11,35,30,6,23,3,16,10,0,0,0,8,18,0,43,28,24,5,0,10,1,3,0,0,2,2,0,3,0,0,1,0,0,7,51,92,0,1,7,99,67,14,3,8,2,35,57,81,95,5,4,2,52,1,46,2,0,0,99,0,99,99,99,10,3,5,4,9706,9606,9604,9604,9603,9602,9601,9511,9510,9509,9508,9507,9506,9504,9503,9502,9501,9411,9411,9410,9409,,9406,L2F,A2F,A2F,A2F,A3F,A4F,A4F,A4F,A3F,A3F,A3F,A3F,A3F,A3F,A2F,L1E,L1E,A1E,A1E,A1E,A1E, ,A1E,23,9702,58,6,16,,,,,,,,,,,9508,,,,,,9501,9501,,9411,,,,,,,,,,,,,15,,,,,,15,15,,15,,,109,9,5,5,9006,15,9411,10,9601,9002,9006,4,12.111111111,17808,0,0,L,2,F,X,X,X,12,B
8601,AMB,2,WA,98443, , ,1001,0, , , , ,XXXX,S2,18,88,E,H, , , , ,,6,F,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,44,52,14,8,6,4, , , ,7, , , , , , , , , , , , , , , , , , , , ,X,816,207,293,99,0,0,51,49,94,2,3,2,2,0,0,0,0,1,0,0,1,0,0,1,33,41,43,34,44,47,28,33,47,20,13,20,27,17,11,7,6,9,17,36,21,17,20,9,18,24,30,46,30,12,5,57,11,6,26,186,272,79,77,1,9,8,0,1,0,1,915,1015,4,3,77,23,96,4,8,36,71,59,28,82,18,8,3,5,18,15,5,21,59,14,0,1,0,4,11,38,73,95,0,4,54,59,58,14,4,9,0,12,12,9,0,2,13,32,70,92,8200,105,819,344,438,410,460,14982,11,15,26,19,20,7,0,1,1,7,16,20,20,25,9,0,2,2,18,3,41,5,32,68,10,85,7,0,0,0,0,0,4,3,0,25,19,25,6,65,69,74,65,70,62,76,51,99,99,0,12,11,2,10,18,1,1,10,2,15,4,9,6,2,0,11,14,10,3,9,13,8,1,3,0,6,7,5,8,8,6,4,10,65,7,0,122,4,14,30,30,4,12,5,4,26,2,22,6,0,1,0,23,44,1,52,14,14,9,1,2,2,8,0,0,3,2,4,1,0,0,0,1,0,3,62,95,1,0,3,97,71,31,8,30,0,1,8,28,43,57,0,0,5,3,61,18,0,13,85,8,8,99,97,8,2,5,5,9706,9606,9604,9604,9603,,9601,9511,9510,9510,9508,,9506,9504,9503,9502,9501,9411,9411,9410,9409,9407,9406,L4D,S4D,S4D,S4D,S4D, ,S4D,S4D,S4D,S4D,S4D, ,S4D,S4D,S3D,S4D,S4D,S4D,S4D,S4D,S4D,S4D,S4E,30,9702,73,5,11,,,,,,9601,,9511,,9511,,9506,9505,9504,,9501,9412,9411,,,,9406,,,,,,3,,2,,5,,2,2,2,,3,2,5,,,,5,160,47,23,1,9306,10,9002,2,9603,8609,8612,3,3.4042553191,182108,0,1,L,4,D,X,X,X,22,A
9601,L21,1,CA,90042, , ,2001,0, , , , ,XXXX,U3,08,78,E,H, , , , ,1,3,M,2,0,,,,,,,,,,,,,,,3,0,16,44,22,12,2,0, , , ,, , , , , , , , , , , , , , , , , , , ,2, ,2253,490,709,99,0,0,49,51,59,2,1,16,58,0,1,5,8,0,0,0,42,1,1,15,28,37,41,31,41,46,30,45,33,22,18,26,20,13,10,8,5,20,17,28,18,17,22,8,18,24,22,54,40,23,13,44,12,6,37,227,313,67,62,5,32,27,23,0,0,0,1721,1793,5,5,46,54,97,3,0,44,69,46,28,83,17,16,4,12,19,19,7,14,36,10,1,2,0,31,64,89,94,99,6,21,18,42,40,16,8,25,8,0,22,8,23,0,52,73,87,95,4480,13,803,270,284,358,358,10720,28,17,13,17,15,7,3,0,0,28,17,10,19,14,7,3,0,0,20,15,37,22,59,41,11,59,23,12,12,0,0,1,2,4,0,2,30,32,11,72,73,78,68,72,63,74,43,60,99,12,9,10,2,8,22,1,1,8,1,18,12,4,2,1,0,5,20,3,2,4,20,9,7,4,2,4,10,7,2,12,2,0,9,68,7,2,120,26,10,15,25,7,12,5,3,34,1,23,12,0,0,0,8,16,1,44,12,22,12,0,2,1,3,0,0,2,0,0,1,0,0,0,0,0,44,34,30,49,18,2,93,51,21,5,36,0,0,0,0,8,92,1,4,92,2,4,0,0,0,99,0,99,97,87,9,2,3,4,9706,9606,9604,,,,,,,9509,9508,,,,,,,,,,,,,L1G,F1G,F1G, , , , , , ,P1G,P1G, , , , , , , , , , , , ,6,9702,13,5,10,,,,,,,,,,9512,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,25,1,1,25,9512,25,9512,25,9512,9512,,,25,143312,0,1,L,1,G,X,X,X,28,A
9601,CNT,0,CA,92075, , ,2801,0, , , , ,XXXX,S1,13,70,I,U, , , , ,,1,F,,0,,,,,,,,,,,,,,,2,0,41,28,31,5,4,3, , , ,, , , , , , , , , , , , , , , , , , , , , ,1463,453,524,99,0,0,48,52,91,1,0,6,4,1,1,3,0,0,0,0,3,0,0,1,43,47,49,40,48,51,22,22,45,33,10,9,20,27,18,11,4,6,10,29,28,27,22,5,19,11,39,50,29,8,2,67,6,4,23,201,279,99,97,0,0,0,0,0,0,0,3960,3995,12,10,92,8,97,3,6,36,86,77,32,92,8,4,0,4,8,11,3,14,59,18,0,1,0,97,99,99,99,99,87,0,91,72,73,15,4,0,0,0,8,0,0,0,87,87,89,92,7320,15,825,773,827,838,884,34018,7,1,3,6,31,19,14,8,12,4,2,3,7,27,18,16,10,14,23,0,70,8,42,58,21,84,6,4,4,0,0,0,1,5,2,1,20,22,1,72,62,71,54,71,53,61,49,99,99,0,21,28,4,22,13,5,0,4,1,2,0,0,0,1,0,1,12,1,3,3,15,16,1,6,1,9,13,13,6,5,4,3,10,73,4,1,160,3,2,10,27,5,31,23,8,24,2,16,14,0,0,0,21,41,4,28,33,31,6,0,4,0,6,0,1,3,2,0,1,1,2,1,0,0,14,33,85,7,4,4,97,90,40,9,16,0,0,1,98,99,0,0,0,98,0,2,0,0,0,99,0,99,99,99,17,3,5,6,9706,9606,9604,,9603,9601,9601,,,,,,,,,,,,,,,,,L1G,F1G,F1G, ,F1G,P1G,P1G, , , , , , , , , , , , , , , , ,6,9702,14,5,12,,,,,,9602,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,25,1,1,25,9602,25,9602,25,9602,9602,,,25,159594,0,0,L,1,G,X,X,X,11,A
9501,ASE,1,HI,96816, , ,3101,0, , , , ,XXXX,U1,01,67,I,U, , , , ,,2,M,2,0,,,,,,,,,,,,,,,1,0,22,44,22,2,8,3, , , ,, , , , , , , , , , , , , , , , , , , , , ,3691,928,1648,99,0,0,49,51,20,0,0,78,3,0,43,12,3,4,2,9,0,1,0,2,34,38,40,36,42,45,18,43,39,18,11,28,23,12,11,9,5,19,17,34,16,14,20,6,17,33,35,32,15,6,2,44,15,5,36,149,223,11,9,3,88,85,72,0,0,0,3611,3826,5,6,29,71,95,5,19,24,56,39,16,73,27,8,2,7,25,27,11,3,15,2,0,0,0,80,96,98,98,98,60,42,2,29,29,12,7,36,52,0,8,15,47,0,58,81,93,96,3320,0,744,318,355,352,390,15633,16,21,19,25,14,4,1,0,0,10,20,19,28,16,5,2,0,0,20,6,50,5,53,47,16,59,18,15,15,0,0,1,6,2,1,0,19,22,2,67,75,80,69,77,69,73,47,89,93,3,12,12,4,15,19,1,1,18,0,9,3,4,3,2,0,5,5,10,2,2,28,9,3,7,2,5,7,6,4,2,8,3,9,69,6,1,122,8,12,30,17,8,18,9,3,22,2,13,11,0,0,0,12,22,1,44,16,22,9,0,1,0,2,0,0,1,0,0,0,2,0,0,0,0,20,58,67,1,31,1,88,29,6,5,24,3,3,18,59,79,21,19,17,5,2,44,0,0,0,99,0,99,99,99,11,2,4,6,9706,9606,9604,,9603,9602,9512,9511,9510,9510,9509,,9506,,,,,,,,,,,L1F,N1F,N1F, ,N1F,F1F,F1F,F1F,F1F,F1F,F1F, ,P1F, , , , , , , , , , ,6,9702,15,3,7,,,,,,,,,,,,9506,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,20,1,1,20,9506,20,9506,20,9506,9506,,,20,174023,0,1,L,1,F,X,X,X,27,B
9201,ICK,1,IN,46303, , ,0,0, , , , ,XXXX,T2,39,, , , , , , ,,,M,,0,,,,,,,,,,,,,,, ,0,24,32,19,3,2,1, , , ,5, , , , , , , , , , , , , , , , , , , , , ,2667,703,856,0,63,37,49,51,99,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,29,37,39,30,41,44,34,38,43,19,13,29,25,14,8,7,3,15,17,35,19,14,17,5,14,14,25,61,39,18,7,63,11,5,22,250,312,91,90,3,7,4,3,0,0,0,549,654,3,3,77,23,94,6,16,52,82,68,42,91,9,10,3,7,12,10,4,29,61,9,0,0,0,2,6,15,24,58,0,2,46,53,55,17,5,5,2,1,15,4,3,0,1,8,42,91,2960,51,602,336,339,340,340,10425,20,15,18,22,23,2,0,0,0,19,17,16,25,22,2,0,0,0,25,11,37,12,39,61,16,77,18,1,1,0,0,0,1,3,18,3,28,33,8,81,74,82,66,75,59,60,47,62,82,6,9,9,2,11,13,1,1,13,3,15,14,4,5,2,0,5,27,5,2,5,20,1,4,7,1,7,7,4,2,3,2,1,2,81,11,0,120,7,15,45,16,7,6,5,8,24,3,25,4,0,0,0,12,24,0,32,19,19,17,1,1,0,10,1,0,5,1,0,4,0,0,0,0,0,1,61,95,1,0,3,98,71,36,8,26,0,6,15,42,63,37,0,0,86,0,5,6,0,3,2,98,61,99,98,6,2,5,2,9706,9606,9604,9604,9603,9602,9601,9511,9510,9509,9508,9507,9506,9504,9503,9502,9412,9411,9411,9410,9409,,9406,L3G,A3G,A3G,A4G,A4G,A3G,A3G,A3G,A3G,A3G,A3G,A3G,A2F,A2F,A1F,A1F,A1F,A1F,A1F,A1F,A1F, ,L3E,20,9702,52,6,14,,,,,,,,,,,,,9505,9505,9503,,,,,,,,,,,,,,,,,,,,25,25,20,,,,,,,,145,8,2,10,9212,25,9505,25,9512,9205,9212,7,18.125,60699,0,1,L,3,G,X,X,X,38,A
8901,AML,0,CA,92026, , ,0,0, , , , ,XXXX,S2,18,, , , , , , ,,,F,,0,,,,,,,,,,,,,,, ,5,37,45,18,6,5,2, , , ,,03, , , , , , , , , , , , , , , , , , , ,X,2782,794,950,93,0,7,51,49,88,2,0,7,10,0,1,1,3,0,1,0,8,1,0,1,29,34,35,30,38,40,27,51,37,12,10,41,24,12,6,5,2,27,18,30,15,10,11,2,8,10,38,52,29,10,3,70,8,3,19,208,284,99,99,0,0,0,0,2,0,2,1748,1838,9,8,88,12,96,4,2,45,84,75,39,87,13,6,2,4,11,8,6,21,60,7,0,1,0,19,88,99,99,99,2,3,49,53,55,15,5,0,0,1,12,0,0,0,89,90,91,92,7320,15,825,445,458,476,479,18029,8,5,11,32,39,3,0,1,2,8,4,11,31,41,3,0,1,1,16,0,55,5,84,16,17,75,13,1,1,0,0,1,4,5,1,4,24,30,4,77,79,90,67,88,67,76,61,79,99,2,17,19,5,13,11,0,2,8,3,10,5,3,4,3,0,7,20,1,4,5,16,9,2,3,3,7,7,8,5,6,5,2,10,70,7,0,140,0,4,26,33,9,24,4,4,25,1,18,10,3,5,0,20,37,1,45,21,18,20,2,5,2,8,0,0,4,1,1,3,0,1,0,0,0,11,45,82,8,5,5,98,80,14,3,4,12,91,92,95,95,5,2,0,91,1,5,1,0,2,99,0,90,99,99,13,3,2,6,9706,9606,9604,9604,9603,9602,9601,9511,9510,9510,9509,9507,9506,,9503,9502,9501,9411,,9410,9409,,9406,L2F,A2F,A2F,A2F,A3F,A3F,A3F,A2F,A1F,A1F,A1F,A1F,A1F, ,A1F,I1G,I1G,L1G, ,L1G,L1G, ,L1G,24,9702,56,6,12,,,,,,,,,,,,9507,,,,9509,,,,,,9501,,,,,,,,,,,,15,,,,20,,,,,,15,125,6,6,10,8911,35,9210,20,9509,8911,9110,23,20.833333333,152301,0,0,L,2,F,X,X,X,12,A
8701,WKB,0,TN,38018, , ,4701,0, , , , ,XXXX,T1,35,51,E,H, , , , ,,6,F,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,27,54,20,6,2,2, , , ,,03, , , , , , , , , , , , , , , , , , , , ,2385,717,938,73,0,27,49,51,95,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,31,36,37,31,39,41,25,47,35,18,8,36,29,14,8,5,1,21,18,30,19,12,8,2,6,20,35,45,22,5,1,68,12,2,19,186,254,99,71,0,0,0,0,0,0,0,961,1079,7,6,95,5,94,6,4,40,76,67,34,88,12,6,1,5,10,17,4,21,68,7,1,2,0,2,12,42,95,99,1,0,73,59,63,14,4,0,0,0,5,0,0,0,83,88,95,95,4920,179,640,522,556,536,569,21590,6,6,9,24,39,11,2,1,1,4,4,8,25,40,13,2,1,1,8,0,55,5,74,26,34,83,13,0,0,0,0,0,0,3,4,2,27,28,4,83,84,86,82,86,81,75,53,81,99,4,23,22,5,18,15,0,2,4,1,6,2,1,1,1,0,4,11,10,2,8,19,5,5,2,1,15,8,7,3,6,2,2,7,74,8,0,156,1,2,12,30,8,34,14,7,24,4,18,10,0,1,0,12,27,0,54,23,20,8,0,8,1,9,0,0,7,2,0,1,0,0,1,2,0,2,45,97,0,1,1,99,73,21,3,5,10,74,75,96,96,4,4,0,79,2,19,0,0,0,99,1,93,99,99,9,2,4,3,9706,9606,9604,,9603,9602,9601,9511,9510,9510,9509,,9506,,9503,9502,9501,9411,,9410,9409,,,L1F,A1F,A1F, ,A1F,A1D,A1D,A1D,A1D,A1D,A1D, ,A1D, ,A1D,A1D,A1D,L2E, ,L2E,L2E, , ,25,9702,60,5,12,,,,,,,9512,,,,,,,,,,,,,9410,,,,,,,,,15,,,,,,,,,,,,,5,,,55,8,6,3,9209,15,9512,15,9512,8703,8712,9,6.875,53096,0,1,L,1,F,X,X,X,3,B
8601,ASC,1,CA,94558, , ,602,0, , , , ,XXXX,C1,24,92,E,H, , , , ,,5,M,3,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,43,34,36,14,9,5, , , ,3, , , , , , , , , , , , , , , , , , , , , ,2888,890,1014,99,0,0,49,51,95,0,1,3,4,0,1,1,0,0,0,0,2,0,0,2,40,46,48,38,48,51,25,36,41,23,8,12,25,21,17,12,6,13,16,35,22,14,25,4,22,10,42,48,31,11,4,74,5,4,17,195,284,99,95,0,0,0,0,0,0,0,2589,2753,9,8,94,6,97,3,7,38,88,82,35,93,7,3,1,2,6,9,2,20,56,19,0,0,0,81,96,99,99,99,25,0,88,68,70,15,4,0,0,0,6,0,0,0,87,89,93,93,8720,65,807,620,650,692,733,28038,3,9,6,17,29,17,7,6,5,0,7,4,19,32,19,7,7,5,20,1,65,0,50,50,9,85,8,1,1,0,0,0,0,6,1,27,14,23,6,41,71,81,61,79,59,68,56,99,99,0,24,20,5,10,11,0,5,7,1,9,3,3,3,3,0,6,10,3,4,4,13,6,8,1,1,11,11,9,10,14,9,5,10,56,7,0,140,2,4,22,23,10,26,12,4,25,4,19,6,0,0,0,21,43,0,34,20,36,3,1,3,0,6,0,0,4,5,0,1,0,0,2,1,0,5,60,94,1,2,2,99,82,29,6,14,10,21,41,73,90,10,4,1,89,1,9,0,0,2,98,2,93,99,99,13,3,9,7,9706,9606,9604,,9603,,,9511,,9510,9508,,9506,,9503,9502,9412,9411,9411,9410,9409,9407,9406,L1F,A1F,A1F, ,A1F, , ,L1F, ,L1F,L1F, ,L1F, ,L1F,A1F,A1F,A1F,A1F,A1F,A1F,A1F,A1F,26,9702,64,4,11,,,,,,,,,9511,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,87,8,4,5,8612,15,9312,15,9511,8612,8710,10,10.875,165269,0,0,L,1,F,X,X,X,11,A
9601,USB,0,IA,52068, , ,0,0, , , , ,XXXX,R2,44,, , , , , , ,,,M,,0,,,,,,,,,,,,,,, ,0,14,28,0,8,0,0, , , ,, , , , , , , , , , , , , , , , , , , , , ,502,118,145,0,0,99,52,48,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,39,44,30,42,46,36,38,40,23,16,27,15,19,12,6,5,17,16,30,22,15,17,7,16,18,21,61,49,29,15,63,1,5,31,291,343,92,92,0,0,0,0,0,0,0,675,648,2,0,67,33,99,1,0,50,81,76,48,94,6,2,1,1,13,9,1,30,59,11,0,0,0,0,0,7,43,64,0,1,71,66,65,18,5,0,0,5,30,0,0,2,0,8,8,25,2200,173,637,310,321,384,395,9635,19,17,19,15,20,5,5,0,0,20,13,17,16,22,6,5,0,0,17,12,42,22,23,77,0,45,3,0,0,0,0,0,8,45,0,0,2,12,0,40,69,81,55,81,55,56,59,0,0,0,9,3,0,2,10,0,0,6,50,5,3,12,0,53,0,12,3,6,0,0,2,0,0,0,0,9,13,3,0,8,0,0,50,34,9,0,120,26,4,49,8,8,3,3,11,23,0,32,3,0,0,0,7,14,0,28,24,0,0,0,0,0,48,0,0,18,0,0,0,0,0,0,0,0,0,99,98,2,0,0,99,91,39,14,50,6,6,12,46,46,54,0,0,7,34,9,49,0,0,0,99,0,99,99,6,0,3,6,9706,9606,9604,,9603,,,9509,,,,,,,,,,,,,,,,L1G,F1G,F1G, ,F1G, , ,P1A, , , , , , , , , , , , , , , ,5,9702,14,5,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,1,0,50,9601,50,9601,50,9601,9601,,,50,76250,0,0,L,1,G,X,X,X,57,C
9501,L15,1,MI,49346, , ,2801,0, , , , ,XXXX,R2,48,70,E,H, , , , ,,2,M,,0,,,,,,,,,,,,,,,2,0,45,6,72,1,9,3, , , ,, , ,Y,Y,Y, , , ,Y, , ,Y, , , ,Y, , , ,2,X,687,258,311,0,0,99,51,49,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,61,62,51,57,59,12,39,40,21,5,8,9,13,24,32,7,16,14,33,19,18,50,9,46,16,63,21,10,3,1,82,4,6,9,154,221,87,86,0,0,0,0,0,0,0,847,920,5,4,93,7,34,66,45,14,83,79,12,91,9,2,1,1,10,9,1,10,39,50,0,0,0,2,7,30,63,93,1,0,56,56,58,13,1,0,0,13,7,0,0,0,24,52,81,86,0,451,540,275,291,320,341,14261,21,25,15,23,13,3,0,1,0,16,25,18,22,15,3,0,1,0,55,5,50,6,46,54,10,91,8,0,0,0,0,0,0,1,2,33,25,29,9,58,30,37,23,33,21,54,50,0,74,13,10,17,2,23,15,0,0,12,0,7,7,2,4,0,0,8,11,2,2,2,18,19,2,1,2,12,12,6,3,1,9,3,7,68,12,0,128,2,20,24,20,10,16,8,1,14,0,11,3,0,0,0,25,45,1,6,13,72,3,4,13,1,17,0,0,4,3,0,0,0,0,2,1,0,2,74,98,1,0,1,97,63,15,5,16,4,8,20,77,89,11,0,0,3,42,22,26,0,7,2,98,2,99,98,7,3,8,14,9706,9606,9604,9604,9603,9602,9601,9511,9510,9511,9509,,9506,,,9501,9412,,,,,,,L2F,A2F,A2F,A2F,N3F,N2F,N2F,N2F,N2F,N2F,N2F, ,F1D, , ,P1D,P1D, , , , , , ,10,9702,24,6,12,,,,,,,,,,9512,,9507,,,,9501,,,,,,,,,,,,,,,,12,,15,,,,5,,,,,,,32,3,3,5,9501,15,9507,12,9512,9501,9507,6,10.666666667,73041,0,0,L,2,F,X,X,X,42,D
9601,CRG,28,IN,46234, , ,5201,0, , , , ,XXXX,S2,16,46,E,H, , , , ,,3,F,6,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,1,25,42,38,4,3,4, , , ,, , , , ,Y, , , , , , ,Y, , , , , , , ,2, ,2537,664,994,99,0,0,46,54,96,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,31,38,40,34,45,48,29,43,37,19,9,31,21,10,7,8,13,20,18,29,20,13,26,15,24,29,27,44,25,7,1,56,15,11,18,179,249,30,29,0,15,15,15,2,2,0,697,734,8,7,83,17,95,5,5,43,67,52,32,81,19,11,2,9,12,25,5,24,56,17,1,1,0,0,0,2,30,97,0,8,28,47,49,14,5,0,15,55,2,0,12,2,77,84,88,91,3480,83,527,322,373,351,400,13820,12,22,21,27,14,3,1,0,0,4,15,25,34,16,5,1,0,0,32,1,46,2,65,35,8,79,16,1,1,0,0,0,2,3,0,9,23,25,2,78,70,81,62,79,59,82,57,99,99,0,9,19,5,12,18,0,1,9,0,12,8,5,2,1,1,4,21,4,3,5,19,8,6,3,4,9,5,6,4,4,3,4,6,75,8,0,120,5,14,33,18,9,10,10,3,24,2,21,4,1,1,0,11,25,1,42,4,38,13,0,5,2,13,0,0,7,1,0,0,0,0,1,1,0,2,75,95,2,0,3,92,51,10,4,9,3,28,65,94,98,2,0,0,50,0,48,1,0,0,97,3,94,99,99,7,2,3,4,9706,9606,9604,,9603,9601,9601,,,,,,,,,,,,,,,,,L1F,F1F,F1F, ,F1F,P1F,P1F, , , , , , , , , , , , , , , , ,6,9702,14,5,12,,,,,,9602,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,20,1,1,20,9602,20,9602,20,9602,9602,,,20,60401,0,1,L,1,F,X,X,X,25,B
